title,genre,director,cast
Deadpool 2,"Action, Adventure, Comedy",David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
Sixteen Candles,"Comedy, Romance",John Hughes,"Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling"
Article 370,"Action, Drama, Thriller",Aditya Suhas Jambhale,"Yami Gautam, Mohan Agashe, Sukhita Aiyar, Raj Arjun"
Past Lives,"Drama, Romance",Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah"
Animal,"Action, Crime, Drama",Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna"
Inglourious Basterds,"Adventure, Drama, War",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson"
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Ricky Stanicky,Comedy,Peter Farrelly,"Zac Efron, John Cena, Andrew Santino, Riley Stiles"
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Idiocracy,"Adventure, Comedy, Sci-Fi",Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews"
Pearl,"Drama, Horror, Thriller",Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland"
Gisaengchung,"Drama, Thriller",Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
Bad Boys: Ride or Die,"Action, Adventure, Comedy",Adil El Arbi,"Bilall Fallah, Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig"
John Wick: Chapter 4,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick"
Young Woman and the Sea,"Biography, Drama, Romance",Joachim Rønning,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham, Kim Bodnia"
The Image of You,Thriller,Jeff Fisher,"Sasha Pieterse, Parker Young, Mira Sorvino, Nestor Carbonell"
Split,"Horror, Thriller",M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula"
Founders Day,"Comedy, Horror, Mystery",Erik Bloomquist,"Naomi Grace, Devin Druid, William Russ, Amy Hargreaves"
Napoleon,"Action, Adventure, Biography",Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett"
